func_id,rms,cost,chains
10,749,836584,5
10,841,1091516,5
10,8356,136248791,5
10,2210,8885233,5
10,640,578363,5
10,9252,167435863,5
10,10206,204171541,5
10,3627,24847738,5
10,7455,108125878,5
10,6799,89692934,5
