func_id,rms,cost,chains
10,1108,2023079,5
10,5108,50115079,5
10,2108,8046079,5
10,4108,32092079,5
10,4608,40603579,5
10,608,511579,5
10,1608,4534579,5
10,2608,12557579,5
10,3108,18069079,5
10,5108,50115079,5
10,3608,24580579,5
